item_id,item_name,n,accuracy,macro_f1,qwk,mae,far_off_rate,within_one,f1_class3,severe_recall,false_severe_rate,run
4,Tired,219,0.4155251141552511,0.3592718784237252,0.3507767472040918,0.7351598173515982,0.136986301369863,0.863013698630137,0.27906976744186046,0.21428571428571427,0.04712041884816754,L2_filter
5,Appetite,219,0.4246575342465753,0.2638548752834467,0.225471450530499,0.7899543378995434,0.1780821917808219,0.821917808219178,0.13333333333333333,0.08333333333333333,0.020512820512820513,L2_filter
6,Failure,219,0.3698630136986301,0.3260160928860891,0.2880811215160415,0.9223744292237442,0.2420091324200913,0.7579908675799086,0.29508196721311475,0.375,0.14358974358974358,L2_filter
7,Concentrating,219,0.3789954337899543,0.2554808885821919,0.2393317896129673,0.776255707762557,0.1232876712328767,0.8767123287671232,0.14285714285714285,0.09090909090909091,0.02030456852791878,L2_filter
8,Moving,219,0.5159817351598174,0.2832091863933033,0.2187992217177801,0.547945205479452,0.0502283105022831,0.9497716894977168,0.0,0.0,0.0047169811320754715,L2_filter
1,NoInterest,219,0.4520547945205479,0.33111352304944053,0.31187589451691977,0.6438356164383562,0.0776255707762557,0.9223744292237442,0.125,0.1111111111111111,0.02857142857142857,L3_infofirst
2,Depressed,219,0.4200913242009132,0.34858310549100024,0.3430229941952032,0.9406392694063926,0.2785388127853881,0.7214611872146118,0.2916666666666667,0.7777777777777778,0.31840796019900497,L3_infofirst
3,Sleep,219,0.410958904109589,0.39943227750630894,0.4959577595543865,0.7397260273972602,0.1278538812785388,0.8721461187214612,0.3728813559322034,0.3142857142857143,0.07065217391304347,L3_infofirst
4,Tired,219,0.3881278538812785,0.3488158666730095,0.34753463429167286,0.7671232876712328,0.1461187214611872,0.8538812785388128,0.2727272727272727,0.21428571428571427,0.05235602094240838,L3_infofirst
5,Appetite,219,0.4292237442922374,0.2796304096054118,0.19308107292413323,0.7990867579908676,0.1872146118721461,0.8127853881278538,0.13793103448275862,0.08333333333333333,0.015384615384615385,L3_infofirst
